loan_amnt,int_rate,installment,emp_length,home_ownership,verification_status,dti,total_acc,earl_cr_line_t,loan_inc_pct,log_income,tempo_mes,status,status_repayment
16625,17.27,415.6,5.0,MORTGAGE,Verified,18.09,22.0,-296 days +18:24:00,0.4157289322330583,10.596384701840863,38.0,1,0
35000,19.72,921.85,10.0,MORTGAGE,Verified,12.04,55.0,-344 days +01:36:00,0.3645833333333333,11.472103470449973,9.0,0,1
32000,17.77,808.6,10.0,MORTGAGE,Verified,9.5,34.0,-206 days +00:48:00,0.32,11.512925464970229,14.0,0,1
16100,15.31,385.65,6.0,RENT,Source Verified,10.8,18.0,-151 days +20:00:00,0.33541666666666664,10.778956289890028,29.0,0,1
20000,23.63,571.08,8.0,RENT,Verified,24.79,26.0,-322 days +08:00:00,0.35714285714285715,10.933106969717286,16.0,0,1
17400,21.98,480.38,10.0,RENT,Verified,19.38,20.0,-152 days +19:12:00,0.29,11.002099841204238,6.0,0,1
22250,15.8,538.72,6.0,MORTGAGE,Verified,24.82,28.0,-200 days +02:24:00,0.445,10.819778284410283,45.0,1,0
16750,12.12,373.62,2.0,MORTGAGE,Verified,25.12,29.0,-315 days +12:00:00,0.3489583333333333,10.778956289890028,50.0,0,1
24000,16.29,587.34,2.0,RENT,Source Verified,10.24,31.0,-95 days +14:24:00,0.21818181818181817,11.608235644774552,32.0,0,1
21200,22.47,591.21,4.0,RENT,Source Verified,12.4,7.0,-180 days +08:48:00,0.35333333333333333,11.002099841204238,2.0,0,1
33950,16.29,830.84,9.0,MORTGAGE,Verified,27.49,29.0,-135 days +01:36:00,0.3395,11.512925464970229,33.0,0,1
33425,19.72,880.36,9.0,MORTGAGE,Verified,27.04,27.0,-199 days +03:12:00,0.44566666666666666,11.225243392518447,35.0,0,1
19075,17.77,482.0,9.0,MORTGAGE,Verified,9.93,36.0,-148 days +21:36:00,0.30766129032258066,11.03488966402723,19.0,1,0
25000,21.49,683.25,10.0,RENT,Source Verified,13.85,43.0,-173 days +12:00:00,0.29411764705882354,11.350406535472453,25.0,0,1
25000,22.47,697.18,3.0,MORTGAGE,Verified,23.62,45.0,-162 days +16:00:00,0.4166666666666667,11.002099841204238,4.0,1,0
35000,24.83,1023.82,10.0,MORTGAGE,Verified,20.73,19.0,-197 days +04:00:00,0.38836244202303544,11.408919586931974,9.0,0,1
16000,15.31,383.25,10.0,MORTGAGE,Verified,21.63,40.0,-266 days +04:48:00,0.2,11.289781913656018,30.0,0,1
12450,13.11,283.98,10.0,RENT,Source Verified,22.44,25.0,-172 days +12:48:00,0.249,10.819778284410283,19.0,1,0
16000,15.8,387.4,10.0,MORTGAGE,Verified,24.49,20.0,-101 days +13:36:00,0.10666666666666667,11.918390573078392,59.0,0,1
28000,16.29,685.23,6.0,MORTGAGE,Verified,26.14,46.0,-193 days +06:24:00,0.3111111111111111,11.407564949312402,57.0,0,1
24000,16.29,587.34,2.0,MORTGAGE,Verified,11.77,18.0,-132 days +03:12:00,0.2564102564102564,11.446785662465684,35.0,0,1
